_id,date,author_mail,author_name,text,theme
5efd7cc6f8d8ac174e495413,2020-06-26T21:20:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 21:20"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7ccbf8d8ac174e495415,2020-06-26T21:18:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 21:18"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cd0f8d8ac174e495419,2020-06-26T21:05:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 21:05"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cd3f8d8ac174e49541b,2020-06-26T21:03:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 21:03"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cd7f8d8ac174e49541f,2020-06-26T20:57:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:57"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cddf8d8ac174e495421,2020-06-26T20:54:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:54"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7ce3f8d8ac174e495440,2020-06-26T20:50:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:50"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cebf8d8ac174e49544a,2020-06-26T20:48:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:48"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7ceff8d8ac174e49544d,2020-06-26T20:46:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:46"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
5efd7cf4f8d8ac174e49544f,2020-06-26T20:37:00.000Z,security@id.mail.ru,Mail.ru,"[""Вход с нового устройства в аккаунт\n study.ai_172@mail.ru "",""в аккаунт"",""В аккаунт study.ai_172@mail.ru вошли с нового устройства."",""Если вы этого не делали, измените пароль, чтобы обезопасить аккаунт."",""Время"",""26 июня, 20:37"",""Устройство"",""Роботы, Роботы, Санкт-Петербург, Россия"",""Узнайте, как защитить аккаунт, на нашем сайте по безопасности."",""Вы получили это письмо, потому что являетесь пользователем Mail‌.ru на основании Пользовательского соглашения."",""‌"",""Copyright 2020 Mail‌.ru Group, Москва — Все права защищены."",""‌"",""Служба поддержки      Mail ID""]",Вход с нового устройства в аккаунт
